complex_word	simple_word	POS	complex_lemma	simple_lemma	complex_index	simple_index	complex_sentence	simple_sentence
battle	war	NN	battle	war	13	13	american women will soon be free to fight on the front lines of battle and they will go with the public 's support .	american women will soon be able to fight on the front lines of war .
open	start	VB	open	start	6	6	the pentagon said it expects to open up many jobs to women this year , but that commanders will have until 2016 to ask for exceptions .	the military said it expects to start opening up many jobs to women as early as this year .
start	open	VB	start	open	9	6	the military said many of the banned jobs will start opening up this year .	many of the banned jobs will open up to women this year .
valor	bravery	NN	valor	bravery	18	15	major mary jennings hegar was awarded the purple heart for her injuries and another medal for heroism and valor after her helicopter was shot down in afghanistan .	the air force awarded hegar the purple heart for her injuries and another medal for bravery and heroism .
role	part	NN	role	part	20	8	because the air force did not consider her experience as combat , she was prevented from competing for a combat-leadership role .	because the air force did not consider her part of a combat unit , she could not get one .
sort	kind	NN	sort	kind	11	2	soldiers who drive fuel trucks , provide medical support or even sort mail can come under fire in modern warfare .	in this kind of modern warfare , soldiers doing any kind of job can come under fire .
nearly	almost	RB	nearly	almost	0	0	nearly half of those surveyed said the decision would make no difference in the effectiveness of the military .	almost half said the decision would make no difference .
survey	poll	NN	survey	poll	4	7	only 15 percent of survey respondents said it would make military effectiveness worse .	twenty-nine percent of the people in the poll said allowing women in combat would improve the military .
argue	say	VBP	argue	say	1	4	advocates argue that including more women will help end harassment and discrimination of female troops that has plagued military culture .	but the female troops say that including more women will lead to better behavior in the military .
slaying	murder	NN	slaying	murder	15	15	she wondered what might have been different for the two young men charged with her slaying .	obama wondered what might have been different for the two young men charged with her murder .
slaying	killing	NN	slaying	killing	15	15	she wondered what might have been different for the two young men charged with her slaying .	obama wondered what might have been different for the two young men charged with her killing .
murder	killing	NN	murder	killing	15	15	obama wondered what might have been different for the two young men charged with her murder .	obama wondered what might have been different for the two young men charged with her killing .
luncheon	lunch	NN	luncheon	lunch	7	1	obama was the keynote speaker at the luncheon , set up by emanuel to garner support for a initiative called working together for safer communities , brighter futures .	the lunch was set up by the mayor to gather support for a plan called working together for safer communities , brighter futures .
former	past	JJ	former	past	17	8	in choosing harper high school for the visit , the white house noted that 29 current or former students there had been shot in the last year .	the white house noted that 29 current or past harper high school students had been shot in the last year .
address	speak	VB	address	speak	7	7	some expressed disappointment that she did not address the entire student body .	some were disappointed that she did not speak to the whole student body .
