word	word_index	number_of_complex_annotators	context
abstract	22	9	In a pre - calculus class at John Champe High School in Loudoun County , Virginia , juniors and seniors are learning abstract mathematical concepts .
concepts	24	6	In a pre - calculus class at John Champe High School in Loudoun County , Virginia , juniors and seniors are learning abstract mathematical concepts .
mathematical	23	2	In a pre - calculus class at John Champe High School in Loudoun County , Virginia , juniors and seniors are learning abstract mathematical concepts .
juniors	17	1	In a pre - calculus class at John Champe High School in Loudoun County , Virginia , juniors and seniors are learning abstract mathematical concepts .
seniors	19	1	In a pre - calculus class at John Champe High School in Loudoun County , Virginia , juniors and seniors are learning abstract mathematical concepts .
class	5	0	In a pre - calculus class at John Champe High School in Loudoun County , Virginia , juniors and seniors are learning abstract mathematical concepts .
learning	21	0	In a pre - calculus class at John Champe High School in Loudoun County , Virginia , juniors and seniors are learning abstract mathematical concepts .
abstract	23	4	And in a personal - finance course , 16 - and 17-year - olds are learning about something that might seem even more abstract for the teenagers : retirement .
retirement	28	3	And in a personal - finance course , 16 - and 17-year - olds are learning about something that might seem even more abstract for the teenagers : retirement .
course	6	0	And in a personal - finance course , 16 - and 17-year - olds are learning about something that might seem even more abstract for the teenagers : retirement .
learning	15	0	And in a personal - finance course , 16 - and 17-year - olds are learning about something that might seem even more abstract for the teenagers : retirement .
something	17	0	And in a personal - finance course , 16 - and 17-year - olds are learning about something that might seem even more abstract for the teenagers : retirement .
seem	20	0	And in a personal - finance course , 16 - and 17-year - olds are learning about something that might seem even more abstract for the teenagers : retirement .
even	21	0	And in a personal - finance course , 16 - and 17-year - olds are learning about something that might seem even more abstract for the teenagers : retirement .
teenagers	26	0	And in a personal - finance course , 16 - and 17-year - olds are learning about something that might seem even more abstract for the teenagers : retirement .
heels	17	4	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
instill	25	8	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
practical	26	4	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
pitfalls	38	7	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
experienced	44	4	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
generation	35	2	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
avoid	36	1	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
many	4	0	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
states	5	0	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
moved	7	0	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
offer	9	0	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
courses	14	0	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
hoping	23	0	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
skills	30	0	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
help	32	0	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
next	34	0	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
many	40	0	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
parents	43	0	Virginia was one of many states that moved to offer more personal - finance courses on the heels of the Great Recession , hoping to instill practical money - management skills to help the next generation avoid the pitfalls that many of their parents experienced .
literacy	13	5	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
complex	18	2	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
